,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50,gini10,gini20,gini50
0,0.245,0.24,0.153,0.095,0.105,0.106,0.13,0.1225,0.114,0.115,0.1225,0.113,0.14,0.135,0.131,0.095,0.115,0.1,0.12,0.11,0.12,0.075,0.0975,0.098,0.13,0.1025,0.107,0.52,0.4125,0.224
1,0.33,0.3,0.184,0.115,0.1175,0.118,0.13,0.1375,0.121,0.095,0.105,0.119,0.11,0.14,0.141,0.095,0.115,0.115,0.15,0.09,0.132,0.07,0.0975,0.108,0.145,0.1275,0.132,0.565,0.46,0.242
2,0.295,0.2625,0.16,0.125,0.1175,0.13,0.13,0.1425,0.126,0.095,0.1025,0.11,0.145,0.1325,0.141,0.09,0.1225,0.112,0.17,0.1275,0.12,0.095,0.11,0.108,0.105,0.135,0.118,0.55,0.4575,0.237
3,0.33,0.25,0.168,0.105,0.135,0.117,0.155,0.14,0.126,0.07,0.095,0.117,0.115,0.135,0.138,0.085,0.0975,0.112,0.14,0.1025,0.143,0.065,0.1,0.1,0.14,0.1325,0.118,0.545,0.4275,0.234
4,0.315,0.295,0.199,0.14,0.16,0.124,0.155,0.14,0.144,0.125,0.145,0.142,0.175,0.175,0.168,0.14,0.1575,0.146,0.19,0.135,0.151,0.11,0.15,0.138,0.22,0.1575,0.136,0.56,0.48,0.266
5,0.31,0.2725,0.166,0.095,0.1275,0.116,0.11,0.135,0.133,0.095,0.11,0.11,0.13,0.135,0.134,0.08,0.095,0.1,0.12,0.14,0.114,0.085,0.0925,0.098,0.13,0.1475,0.119,0.525,0.43,0.231
6,0.33,0.2875,0.185,0.12,0.1325,0.122,0.105,0.125,0.123,0.105,0.105,0.115,0.145,0.14,0.13,0.11,0.115,0.112,0.125,0.1125,0.124,0.08,0.1025,0.106,0.135,0.125,0.123,0.58,0.4525,0.243
7,0.28,0.255,0.16,0.135,0.1025,0.114,0.09,0.0675,0.105,0.095,0.1025,0.099,0.135,0.12,0.122,0.1,0.095,0.097,0.095,0.09,0.103,0.08,0.0925,0.101,0.09,0.1,0.107,0.495,0.405,0.21
8,0.29,0.28,0.173,0.095,0.11,0.115,0.13,0.14,0.132,0.11,0.125,0.13,0.14,0.1425,0.133,0.145,0.1225,0.121,0.095,0.1075,0.132,0.12,0.115,0.123,0.145,0.135,0.121,0.53,0.43,0.246
9,0.335,0.27,0.16,0.12,0.12,0.11,0.095,0.115,0.113,0.06,0.0875,0.107,0.12,0.11,0.124,0.105,0.09,0.108,0.145,0.1275,0.106,0.07,0.085,0.101,0.155,0.1225,0.117,0.545,0.44,0.221
