,state_w10,state_w20,state_w50,random10,random20,random50,RNNTestcov10,RNNTestcov20,RNNTestcov50,Stellarbscov10,Stellarbscov20,Stellarbscov50,Stellarbtcov10,Stellarbtcov20,Stellarbtcov50,testRNNsc10,testRNNsc20,testRNNsc50,testRNNsc_cam10,testRNNsc_cam20,testRNNsc_cam50,nc_ctm10,nc_ctm20,nc_ctm50,nc_cam10,nc_cam20,nc_cam50,gini10,gini20,gini50
0,0.3,0.2725,0.163,0.115,0.085,0.111,0.095,0.1125,0.104,0.03,0.075,0.112,0.045,0.0725,0.107,0.12,0.125,0.11,0.085,0.125,0.099,0.145,0.1175,0.104,0.11,0.1,0.101,0.545,0.435,0.221
1,0.285,0.24,0.145,0.12,0.1025,0.099,0.09,0.1,0.109,0.015,0.0625,0.104,0.04,0.07,0.107,0.06,0.1,0.087,0.115,0.135,0.106,0.09,0.0975,0.088,0.08,0.125,0.111,0.465,0.4225,0.207
2,0.33,0.2675,0.165,0.145,0.1175,0.115,0.075,0.11,0.121,0.025,0.075,0.111,0.075,0.0975,0.116,0.125,0.1375,0.104,0.125,0.1025,0.11,0.14,0.1425,0.109,0.11,0.09,0.125,0.56,0.435,0.219
3,0.28,0.2175,0.136,0.075,0.0825,0.097,0.105,0.1,0.106,0.04,0.0775,0.1,0.05,0.0775,0.08,0.1,0.1025,0.088,0.085,0.1075,0.089,0.105,0.1075,0.088,0.09,0.1075,0.104,0.47,0.365,0.194
4,0.28,0.235,0.153,0.1,0.11,0.122,0.14,0.0975,0.108,0.025,0.0775,0.112,0.065,0.095,0.112,0.11,0.1275,0.108,0.065,0.0975,0.113,0.13,0.14,0.103,0.125,0.12,0.098,0.525,0.395,0.209
5,0.3,0.2625,0.153,0.1,0.1075,0.102,0.13,0.0975,0.108,0.025,0.07,0.119,0.06,0.0775,0.118,0.08,0.085,0.089,0.1,0.1075,0.128,0.09,0.0925,0.088,0.14,0.1225,0.111,0.55,0.435,0.215
6,0.345,0.2725,0.165,0.14,0.1125,0.115,0.135,0.1275,0.117,0.015,0.0575,0.118,0.055,0.0725,0.115,0.115,0.1125,0.097,0.085,0.11,0.109,0.115,0.11,0.091,0.11,0.0825,0.11,0.54,0.435,0.219
7,0.315,0.24,0.154,0.1,0.115,0.113,0.105,0.0875,0.108,0.03,0.0625,0.107,0.05,0.0775,0.101,0.105,0.1025,0.094,0.05,0.125,0.112,0.095,0.1025,0.092,0.075,0.1025,0.093,0.51,0.385,0.201
8,0.355,0.2625,0.156,0.085,0.1125,0.116,0.105,0.09,0.123,0.05,0.075,0.102,0.07,0.085,0.105,0.12,0.1125,0.11,0.09,0.125,0.133,0.12,0.115,0.108,0.1,0.135,0.119,0.53,0.42,0.222
9,0.29,0.245,0.155,0.08,0.0875,0.104,0.11,0.1275,0.118,0.025,0.0575,0.102,0.06,0.085,0.1,0.105,0.105,0.1,0.09,0.1125,0.103,0.12,0.1225,0.099,0.11,0.11,0.104,0.52,0.4225,0.215
10,0.295,0.2275,0.151,0.06,0.0825,0.115,0.12,0.11,0.104,0.025,0.065,0.106,0.05,0.0825,0.106,0.075,0.105,0.1,0.15,0.0825,0.111,0.105,0.1175,0.094,0.115,0.1075,0.109,0.54,0.4375,0.212
11,0.295,0.2275,0.142,0.095,0.085,0.1,0.085,0.105,0.094,0.015,0.0675,0.105,0.035,0.06,0.101,0.105,0.0825,0.082,0.085,0.1025,0.099,0.095,0.0925,0.078,0.085,0.095,0.098,0.505,0.3725,0.198
12,0.325,0.2625,0.151,0.12,0.1075,0.11,0.105,0.1075,0.108,0.02,0.07,0.107,0.035,0.07,0.096,0.1,0.1025,0.102,0.125,0.105,0.111,0.115,0.115,0.101,0.08,0.095,0.105,0.525,0.4175,0.209
13,0.305,0.25,0.15,0.1,0.1075,0.104,0.135,0.0975,0.109,0.025,0.0775,0.115,0.055,0.085,0.107,0.08,0.0975,0.095,0.075,0.1125,0.111,0.08,0.105,0.09,0.105,0.115,0.111,0.53,0.3975,0.212
14,0.33,0.265,0.167,0.06,0.115,0.122,0.13,0.095,0.124,0.025,0.0675,0.107,0.065,0.0975,0.117,0.12,0.125,0.112,0.13,0.115,0.121,0.125,0.1225,0.105,0.09,0.0975,0.131,0.53,0.43,0.232
15,0.305,0.2425,0.147,0.15,0.0975,0.093,0.115,0.125,0.1,0.03,0.0725,0.117,0.075,0.08,0.119,0.105,0.1075,0.096,0.115,0.1075,0.092,0.105,0.11,0.094,0.14,0.1175,0.099,0.5,0.395,0.202
16,0.275,0.2425,0.149,0.09,0.115,0.114,0.105,0.09,0.124,0.01,0.065,0.102,0.06,0.0875,0.113,0.12,0.1325,0.113,0.105,0.145,0.117,0.145,0.1375,0.114,0.125,0.1075,0.106,0.525,0.435,0.216
17,0.3,0.265,0.161,0.13,0.1175,0.117,0.12,0.12,0.107,0.025,0.0625,0.125,0.065,0.1075,0.12,0.08,0.11,0.107,0.095,0.125,0.116,0.095,0.1225,0.107,0.12,0.115,0.098,0.54,0.4325,0.227
18,0.32,0.2575,0.157,0.13,0.1075,0.116,0.125,0.1175,0.123,0.04,0.0875,0.122,0.05,0.095,0.121,0.13,0.14,0.115,0.14,0.135,0.111,0.155,0.145,0.111,0.095,0.0925,0.115,0.54,0.4375,0.228
19,0.335,0.26,0.158,0.115,0.085,0.115,0.1,0.1175,0.112,0.025,0.0825,0.113,0.045,0.0925,0.119,0.15,0.13,0.114,0.105,0.1075,0.106,0.16,0.14,0.11,0.085,0.12,0.121,0.51,0.43,0.217
20,0.31,0.2375,0.144,0.115,0.1075,0.102,0.08,0.1225,0.114,0.01,0.0475,0.102,0.04,0.075,0.112,0.1,0.105,0.094,0.15,0.1,0.104,0.115,0.1,0.093,0.085,0.1,0.099,0.505,0.42,0.214
21,0.325,0.265,0.161,0.135,0.12,0.106,0.14,0.1325,0.115,0.03,0.08,0.116,0.075,0.115,0.123,0.14,0.13,0.113,0.075,0.1025,0.114,0.145,0.1425,0.109,0.11,0.095,0.103,0.495,0.42,0.217
22,0.26,0.2225,0.14,0.09,0.11,0.095,0.09,0.0875,0.106,0.01,0.05,0.092,0.05,0.0875,0.102,0.115,0.1075,0.088,0.12,0.0925,0.105,0.12,0.1125,0.089,0.12,0.095,0.105,0.525,0.4075,0.196
23,0.35,0.2575,0.145,0.08,0.0925,0.109,0.1,0.1075,0.109,0.025,0.0625,0.104,0.065,0.0775,0.106,0.095,0.0925,0.092,0.08,0.105,0.099,0.105,0.1075,0.091,0.105,0.0975,0.082,0.555,0.4,0.203
24,0.28,0.2125,0.141,0.085,0.115,0.109,0.11,0.125,0.106,0.03,0.05,0.094,0.045,0.0575,0.098,0.13,0.1125,0.096,0.135,0.1275,0.092,0.135,0.125,0.091,0.14,0.1425,0.108,0.49,0.385,0.202
25,0.215,0.2175,0.134,0.08,0.0675,0.096,0.07,0.09,0.099,0.03,0.055,0.09,0.045,0.0725,0.094,0.11,0.115,0.093,0.1,0.125,0.095,0.125,0.115,0.085,0.085,0.125,0.095,0.45,0.3775,0.194
26,0.3,0.2525,0.142,0.095,0.1025,0.105,0.105,0.0925,0.099,0.03,0.0775,0.108,0.055,0.09,0.105,0.105,0.1175,0.09,0.095,0.105,0.103,0.125,0.11,0.089,0.115,0.115,0.104,0.565,0.425,0.209
27,0.305,0.23,0.138,0.09,0.105,0.097,0.08,0.095,0.096,0.035,0.075,0.097,0.075,0.0875,0.097,0.075,0.085,0.092,0.115,0.0775,0.091,0.085,0.0875,0.085,0.07,0.0875,0.096,0.47,0.375,0.196
28,0.3,0.225,0.142,0.125,0.0875,0.095,0.125,0.1225,0.105,0.01,0.0575,0.096,0.045,0.075,0.111,0.095,0.1175,0.096,0.115,0.13,0.105,0.105,0.1225,0.093,0.12,0.1025,0.099,0.54,0.415,0.207
29,0.265,0.23,0.145,0.095,0.0975,0.122,0.125,0.1125,0.105,0.02,0.0675,0.097,0.045,0.075,0.102,0.085,0.1,0.099,0.075,0.1125,0.103,0.125,0.105,0.095,0.09,0.115,0.103,0.54,0.4025,0.209
